ReviewID,UserID,ProductID,Rating,Comment,ReviewDate
101,172,142,5,Great boots!,2023-05-01 00:00:00
102,143,105,3,Very comfortable.,2023-05-02 00:00:00
103,136,175,5,Love them!,2023-05-03 00:00:00
104,174,143,4,Best boots ever!,2023-05-04 00:00:00
105,133,193,5,Not bad!,2023-05-05 00:00:00
106,188,142,3,Great boots!,2023-05-06 00:00:00
107,145,159,4,Very comfortable.,2023-05-07 00:00:00
108,150,107,5,Love them!,2023-05-08 00:00:00
109,145,119,5,Best boots ever!,2023-05-09 00:00:00
110,181,193,5,Not bad!,2023-05-10 00:00:00
111,198,139,3,Great boots!,2023-05-11 00:00:00
112,138,163,4,Very comfortable.,2023-05-12 00:00:00
113,194,183,4,Love them!,2023-05-13 00:00:00
114,155,129,3,Best boots ever!,2023-05-14 00:00:00
115,189,126,5,Not bad!,2023-05-15 00:00:00
116,184,139,3,Great boots!,2023-05-16 00:00:00
117,126,200,4,Very comfortable.,2023-05-17 00:00:00
118,184,119,3,Love them!,2023-05-18 00:00:00
119,148,107,3,Best boots ever!,2023-05-19 00:00:00
120,140,130,3,Not bad!,2023-05-20 00:00:00
121,119,129,3,Great boots!,2023-05-21 00:00:00
122,173,178,3,Very comfortable.,2023-05-22 00:00:00
123,194,167,4,Love them!,2023-05-23 00:00:00
124,105,153,3,Best boots ever!,2023-05-24 00:00:00
125,155,186,5,Not bad!,2023-05-25 00:00:00
126,125,193,3,Great boots!,2023-05-26 00:00:00
127,152,138,3,Very comfortable.,2023-05-27 00:00:00
128,154,175,4,Love them!,2023-05-28 00:00:00
129,185,118,3,Best boots ever!,2023-05-29 00:00:00
130,151,190,4,Not bad!,2023-05-30 00:00:00
131,116,113,5,Great boots!,2023-05-31 00:00:00
132,116,133,4,Very comfortable.,2023-06-01 00:00:00
133,136,181,4,Love them!,2023-06-02 00:00:00
134,141,124,3,Best boots ever!,2023-06-03 00:00:00
135,179,159,3,Not bad!,2023-06-04 00:00:00
136,124,156,3,Great boots!,2023-06-05 00:00:00
137,141,182,3,Very comfortable.,2023-06-06 00:00:00
138,119,119,5,Love them!,2023-06-07 00:00:00
139,184,200,3,Best boots ever!,2023-06-08 00:00:00
140,136,117,3,Not bad!,2023-06-09 00:00:00
141,119,129,5,Great boots!,2023-06-10 00:00:00
142,174,159,4,Very comfortable.,2023-06-11 00:00:00
143,128,190,5,Love them!,2023-06-12 00:00:00
144,133,168,3,Best boots ever!,2023-06-13 00:00:00
145,174,129,4,Not bad!,2023-06-14 00:00:00
146,130,171,3,Great boots!,2023-06-15 00:00:00
147,131,178,4,Very comfortable.,2023-06-16 00:00:00
148,105,151,5,Love them!,2023-06-17 00:00:00
149,116,127,5,Best boots ever!,2023-06-18 00:00:00
150,103,198,5,Not bad!,2023-06-19 00:00:00
151,181,166,4,Great boots!,2023-06-20 00:00:00
152,128,162,5,Very comfortable.,2023-06-21 00:00:00
153,148,156,3,Love them!,2023-06-22 00:00:00
154,195,108,3,Best boots ever!,2023-06-23 00:00:00
155,149,109,5,Not bad!,2023-06-24 00:00:00
156,145,181,3,Great boots!,2023-06-25 00:00:00
157,143,152,5,Very comfortable.,2023-06-26 00:00:00
158,119,153,3,Love them!,2023-06-27 00:00:00
159,119,167,4,Best boots ever!,2023-06-28 00:00:00
160,143,119,4,Not bad!,2023-06-29 00:00:00
161,173,129,3,Great boots!,2023-06-30 00:00:00
162,181,171,4,Very comfortable.,2023-07-01 00:00:00
163,107,196,5,Love them!,2023-07-02 00:00:00
164,180,178,3,Best boots ever!,2023-07-03 00:00:00
165,174,120,5,Not bad!,2023-07-04 00:00:00
166,141,139,3,Great boots!,2023-07-05 00:00:00
167,179,168,5,Very comfortable.,2023-07-06 00:00:00
168,116,152,4,Love them!,2023-07-07 00:00:00
169,116,139,5,Best boots ever!,2023-07-08 00:00:00
170,131,177,5,Not bad!,2023-07-09 00:00:00
171,101,153,3,Great boots!,2023-07-10 00:00:00
172,121,158,5,Very comfortable.,2023-07-11 00:00:00
173,116,117,5,Love them!,2023-07-12 00:00:00
174,141,109,5,Best boots ever!,2023-07-13 00:00:00
175,151,138,3,Not bad!,2023-07-14 00:00:00
176,141,139,4,Great boots!,2023-07-15 00:00:00
177,101,107,5,Very comfortable.,2023-07-16 00:00:00
178,152,144,5,Love them!,2023-07-17 00:00:00
179,141,154,4,Best boots ever!,2023-07-18 00:00:00
180,119,200,4,Not bad!,2023-07-19 00:00:00
181,116,196,4,Great boots!,2023-07-20 00:00:00
182,135,163,4,Very comfortable.,2023-07-21 00:00:00
183,175,183,3,Love them!,2023-07-22 00:00:00
184,139,170,3,Best boots ever!,2023-07-23 00:00:00
185,169,157,4,Not bad!,2023-07-24 00:00:00
186,148,137,3,Great boots!,2023-07-25 00:00:00
187,139,111,3,Very comfortable.,2023-07-26 00:00:00
188,130,129,3,Love them!,2023-07-27 00:00:00
189,174,137,4,Best boots ever!,2023-07-28 00:00:00
190,153,137,3,Not bad!,2023-07-29 00:00:00
191,179,193,5,Great boots!,2023-07-30 00:00:00
192,172,168,4,Very comfortable.,2023-07-31 00:00:00
193,130,106,3,Love them!,2023-08-01 00:00:00
194,143,131,4,Best boots ever!,2023-08-02 00:00:00
195,190,200,5,Not bad!,2023-08-03 00:00:00
196,107,121,3,Great boots!,2023-08-04 00:00:00
197,141,126,5,Very comfortable.,2023-08-05 00:00:00
198,151,129,4,Love them!,2023-08-06 00:00:00
199,101,167,4,Best boots ever!,2023-08-07 00:00:00
200,133,158,5,Not bad!,2023-08-08 00:00:00
