SizeID,USSize,UKSize,EURSize,CMSize,BRSize,CNSize
101,11.0,10.0,46.0,34.0,42.0,53.0
102,10.0,9.0,44.0,31.0,38.0,48.0
103,10.0,9.0,44.0,31.0,38.0,48.0
104,11.0,10.0,46.0,34.0,42.0,53.0
105,11.0,10.0,46.0,34.0,42.0,53.0
106,8.5,7.5,41.0,26.5,32.0,40.5
107,9.5,8.5,43.0,29.5,36.0,45.5
108,9.0,8.0,42.0,28.0,34.0,43.0
109,10.5,9.5,45.0,32.5,40.0,50.5
110,9.0,8.0,42.0,28.0,34.0,43.0
111,10.5,9.5,45.0,32.5,40.0,50.5
112,9.0,8.0,42.0,28.0,34.0,43.0
113,10.0,9.0,44.0,31.0,38.0,48.0
114,10.0,9.0,44.0,31.0,38.0,48.0
115,9.5,8.5,43.0,29.5,36.0,45.5
116,8.5,7.5,41.0,26.5,32.0,40.5
117,10.5,9.5,45.0,32.5,40.0,50.5
118,8.5,7.5,41.0,26.5,32.0,40.5
119,11.0,10.0,46.0,34.0,42.0,53.0
120,10.5,9.5,45.0,32.5,40.0,50.5
121,9.0,8.0,42.0,28.0,34.0,43.0
122,10.0,9.0,44.0,31.0,38.0,48.0
123,8.5,7.5,41.0,26.5,32.0,40.5
124,11.0,10.0,46.0,34.0,42.0,53.0
125,9.5,8.5,43.0,29.5,36.0,45.5
126,8.5,7.5,41.0,26.5,32.0,40.5
127,9.0,8.0,42.0,28.0,34.0,43.0
128,9.5,8.5,43.0,29.5,36.0,45.5
129,9.5,8.5,43.0,29.5,36.0,45.5
130,11.0,10.0,46.0,34.0,42.0,53.0
131,9.5,8.5,43.0,29.5,36.0,45.5
132,11.0,10.0,46.0,34.0,42.0,53.0
133,10.0,9.0,44.0,31.0,38.0,48.0
134,11.0,10.0,46.0,34.0,42.0,53.0
135,9.0,8.0,42.0,28.0,34.0,43.0
136,9.5,8.5,43.0,29.5,36.0,45.5
137,11.0,10.0,46.0,34.0,42.0,53.0
138,9.5,8.5,43.0,29.5,36.0,45.5
139,11.0,10.0,46.0,34.0,42.0,53.0
140,11.0,10.0,46.0,34.0,42.0,53.0
141,10.5,9.5,45.0,32.5,40.0,50.5
142,9.0,8.0,42.0,28.0,34.0,43.0
143,9.0,8.0,42.0,28.0,34.0,43.0
144,11.0,10.0,46.0,34.0,42.0,53.0
145,8.5,7.5,41.0,26.5,32.0,40.5
146,9.0,8.0,42.0,28.0,34.0,43.0
147,8.5,7.5,41.0,26.5,32.0,40.5
148,9.0,8.0,42.0,28.0,34.0,43.0
149,9.5,8.5,43.0,29.5,36.0,45.5
150,9.0,8.0,42.0,28.0,34.0,43.0
151,8.5,7.5,41.0,26.5,32.0,40.5
152,10.0,9.0,44.0,31.0,38.0,48.0
153,8.5,7.5,41.0,26.5,32.0,40.5
154,11.0,10.0,46.0,34.0,42.0,53.0
155,8.5,7.5,41.0,26.5,32.0,40.5
156,8.5,7.5,41.0,26.5,32.0,40.5
157,9.5,8.5,43.0,29.5,36.0,45.5
158,10.0,9.0,44.0,31.0,38.0,48.0
159,9.0,8.0,42.0,28.0,34.0,43.0
160,10.0,9.0,44.0,31.0,38.0,48.0
161,11.0,10.0,46.0,34.0,42.0,53.0
162,10.0,9.0,44.0,31.0,38.0,48.0
163,9.5,8.5,43.0,29.5,36.0,45.5
164,9.5,8.5,43.0,29.5,36.0,45.5
165,11.0,10.0,46.0,34.0,42.0,53.0
166,9.0,8.0,42.0,28.0,34.0,43.0
167,10.0,9.0,44.0,31.0,38.0,48.0
168,10.0,9.0,44.0,31.0,38.0,48.0
169,9.5,8.5,43.0,29.5,36.0,45.5
170,9.5,8.5,43.0,29.5,36.0,45.5
171,10.0,9.0,44.0,31.0,38.0,48.0
172,11.0,10.0,46.0,34.0,42.0,53.0
173,9.5,8.5,43.0,29.5,36.0,45.5
174,10.0,9.0,44.0,31.0,38.0,48.0
175,10.0,9.0,44.0,31.0,38.0,48.0
176,10.0,9.0,44.0,31.0,38.0,48.0
177,9.0,8.0,42.0,28.0,34.0,43.0
178,11.0,10.0,46.0,34.0,42.0,53.0
179,10.0,9.0,44.0,31.0,38.0,48.0
180,10.5,9.5,45.0,32.5,40.0,50.5
181,8.5,7.5,41.0,26.5,32.0,40.5
182,9.0,8.0,42.0,28.0,34.0,43.0
183,8.5,7.5,41.0,26.5,32.0,40.5
184,10.5,9.5,45.0,32.5,40.0,50.5
185,10.5,9.5,45.0,32.5,40.0,50.5
186,9.0,8.0,42.0,28.0,34.0,43.0
187,11.0,10.0,46.0,34.0,42.0,53.0
188,10.5,9.5,45.0,32.5,40.0,50.5
189,10.0,9.0,44.0,31.0,38.0,48.0
190,9.5,8.5,43.0,29.5,36.0,45.5
191,10.0,9.0,44.0,31.0,38.0,48.0
192,9.5,8.5,43.0,29.5,36.0,45.5
193,8.5,7.5,41.0,26.5,32.0,40.5
194,10.0,9.0,44.0,31.0,38.0,48.0
195,9.5,8.5,43.0,29.5,36.0,45.5
196,10.5,9.5,45.0,32.5,40.0,50.5
197,8.5,7.5,41.0,26.5,32.0,40.5
198,11.0,10.0,46.0,34.0,42.0,53.0
199,9.0,8.0,42.0,28.0,34.0,43.0
200,9.5,8.5,43.0,29.5,36.0,45.5
