OrderDetailID,OrderID,ProductSizeID,Quantity,Price
101,131,192,4,216.48
102,104,192,1,114.69
103,182,183,4,230.31
104,165,219,1,228.0
105,139,265,1,243.53
106,168,209,1,176.83
107,131,107,1,223.77
108,122,216,1,175.09
109,127,267,1,263.92
110,196,260,3,169.96
111,111,163,2,189.55
112,170,222,2,210.46
113,134,148,3,168.39
114,137,291,4,253.94
115,110,135,3,214.28
116,101,172,3,153.25
117,156,143,2,289.28
118,170,249,3,101.59
119,111,214,3,224.12
120,104,191,2,157.12
121,140,279,2,107.63
122,178,123,1,230.25
123,138,103,2,266.7
124,117,292,4,230.44
125,126,206,4,279.23
126,147,229,3,160.04
127,108,193,2,118.47
128,144,204,2,208.22
129,101,106,1,267.51
130,157,281,1,227.49
131,115,110,4,127.92
132,156,195,1,164.72
133,156,198,2,256.97
134,153,112,4,299.38
135,179,199,4,298.69
136,198,141,3,286.49
137,154,177,3,289.51
138,161,188,4,189.28
139,101,290,1,178.73
140,115,205,3,197.56
141,161,231,2,111.21
142,167,251,1,146.42
143,200,183,1,270.44
144,196,148,4,223.68
145,140,130,2,229.56
146,172,223,4,208.24
147,108,196,2,215.85
148,117,181,4,154.46
149,167,220,1,198.67
150,162,228,3,102.15
151,170,214,1,192.56
152,151,228,1,206.5
153,159,230,1,265.18
154,180,176,2,119.07
155,115,102,3,177.03
156,178,281,4,154.32
157,113,214,1,148.03
158,112,165,2,293.99
159,180,208,3,184.79
160,196,291,4,162.48
161,135,177,4,172.76
162,107,149,3,225.94
163,170,137,1,211.63
164,186,150,3,134.44
165,145,115,1,238.08
166,171,174,3,268.74
167,173,250,3,133.05
168,113,216,3,224.49
169,147,261,3,290.95
170,183,172,4,130.29
171,108,229,2,233.32
172,130,275,1,171.66
173,161,125,1,271.19
174,183,181,1,141.42
175,174,266,1,262.82
176,147,245,3,284.51
177,187,281,4,173.41
178,185,169,2,203.06
179,198,193,3,109.02
180,148,203,2,102.38
181,189,108,4,278.48
182,174,289,2,187.39
183,177,110,2,289.43
184,188,263,3,207.05
185,146,164,4,210.61
186,137,167,3,204.53
187,188,169,4,173.98
188,140,222,1,206.71
189,138,242,1,270.87
190,107,295,4,276.25
191,144,200,3,292.69
192,159,229,4,221.07
193,102,135,3,249.43
194,184,299,1,256.63
195,130,117,4,150.04
196,149,266,2,270.7
197,156,118,3,289.17
198,146,267,2,208.25
199,109,228,2,285.72
200,135,183,1,203.84
201,130,115,3,148.03
202,101,266,1,177.18
203,180,291,4,162.21
204,120,229,1,197.49
205,105,262,2,274.05
206,172,278,2,158.08
207,102,200,3,247.87
208,109,260,4,299.2
209,127,286,1,202.73
210,141,287,1,290.74
211,190,225,4,139.64
212,133,177,4,183.38
213,171,129,2,174.89
214,197,154,2,292.38
215,108,287,4,280.54
216,139,260,2,220.62
217,182,114,3,186.2
218,130,139,1,226.05
219,104,192,3,195.97
220,175,188,1,182.14
221,151,224,3,144.8
222,192,160,1,244.61
223,117,219,2,219.26
224,150,275,2,221.74
225,143,163,2,176.9
226,171,290,3,146.99
227,109,140,3,177.51
228,132,172,3,294.19
229,126,231,1,196.72
230,135,288,3,182.39
231,155,126,2,212.47
232,198,286,3,268.77
233,197,133,2,143.43
234,171,226,3,199.13
235,106,259,1,159.48
236,164,281,3,245.82
237,195,217,2,261.26
238,125,192,1,196.22
239,147,270,4,167.97
240,121,286,2,203.38
241,123,217,2,114.74
242,101,274,1,171.29
243,170,186,3,242.41
244,123,126,2,137.75
245,128,174,2,203.18
246,126,235,4,121.79
247,165,103,4,132.86
248,146,131,3,150.14
249,139,178,4,195.16
250,158,192,1,194.62
251,153,197,4,133.79
252,153,143,2,102.24
253,133,119,1,166.91
254,170,285,4,232.18
255,180,271,1,131.24
256,106,233,2,235.92
257,134,240,4,121.25
258,165,125,1,282.27
259,154,251,3,250.67
260,154,217,2,285.75
261,154,235,2,295.65
262,113,233,3,229.12
263,181,257,2,165.18
264,197,154,4,139.77
265,134,259,4,294.57
266,152,204,1,195.51
267,156,213,1,214.42
268,181,122,2,240.97
269,155,256,3,244.86
270,113,234,2,107.98
271,186,264,1,145.48
272,111,183,1,106.14
273,182,149,1,121.41
274,179,280,4,265.11
275,172,195,2,103.6
276,185,125,2,214.61
277,130,207,4,291.3
278,113,269,2,258.95
279,164,257,3,115.35
280,108,269,3,293.4
281,171,276,4,242.55
282,183,252,1,230.5
283,164,257,1,166.41
284,165,190,2,290.7
285,145,266,3,132.73
286,170,106,1,226.43
287,176,124,4,266.59
288,189,214,4,171.81
289,135,297,3,175.41
290,115,249,3,282.06
291,160,242,2,159.98
292,189,285,1,260.31
293,134,130,4,251.38
294,125,215,3,225.73
295,104,257,4,155.93
296,142,283,2,275.62
297,131,257,3,148.6
298,123,292,4,198.66
299,154,161,2,124.22
300,197,298,4,138.18
