CartID,UserID
101,195
102,194
103,141
104,131
105,119
106,184
107,143
108,141
109,181
110,124
111,119
112,133
113,116
114,116
115,116
116,116
117,141
118,141
119,119
120,145
121,151
122,124
123,141
124,141
125,184
126,121
127,143
128,121
129,133
130,116
131,103
132,181
133,175
134,101
135,139
136,148
137,130
138,105
139,172
140,141
141,173
142,173
143,136
144,101
145,173
146,136
147,119
148,152
149,133
150,139
151,143
152,179
153,141
154,148
155,181
156,194
157,119
158,155
159,184
160,169
161,131
162,184
163,153
164,149
165,154
166,151
167,116
168,184
169,141
170,151
171,128
172,103
173,174
174,174
175,155
176,148
177,190
178,143
179,179
180,174
181,174
182,116
183,130
184,119
185,172
186,181
187,179
188,184
189,184
190,155
191,128
192,148
193,181
194,184
195,125
196,119
197,135
198,128
199,131
200,195
